Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
Cer d16:1/16:0,510.5,236.4,4859,5135,1959,2355,2556
Cer d16:1/18:0,538.5,236.4,5342,5942,3046,4329,2838
Cer d16:1/20:0,566.5,236.4,7628,7226,6187,3999,3807
Cer d16:1/22:0,594.7,236.4,22231,20237,16024,11482,9814
Cer d16:1/23:0,608.7,236.4,10967,11059,8516,7817,6349
Cer d16:1/24:0,622.7,236.4,46250,32917,37032,35574,28137
Cer d16:1/24:1,620.7,236.4,10777,12113,11113,8164,7556
Cer d17:1/16:0,524.6,250.4,4333,1779,2332,1357,2185
Cer d17:1/18:0,552.6,250.4,2684,2311,1884,1353,1168
Cer d17:1/20:0,580.6,250.4,998,1289,904,680,649
Cer d17:1/22:0,608.6,250.4,8811,7968,7879,5658,3743
Cer d17:1/23:0,622.6,250.4,7668,9171,6304,5541,4740
Cer d17:1/24:0,636.6,250.4,32135,30895,23881,21282,18592
Cer d17:1/24:1,634.6,250.4,13182,12942,10785,7920,8650
Cer d18:1/16:0,538.5,264.3,118213,59599,101394,45321,68386
Cer d18:1/18:0,566.6,264.3,40605,37864,32613,21398,22563
Cer d18:1/19:0,580.5,264.3,1196,1038,1093,709,816
Cer d18:1/20:0,594.6,264.3,36065,35292,29174,21477,19225
Cer d18:1/21:0,608.6,264.3,4727,4595,3182,3043,2732
Cer d18:1/22:0,622.6,264.3,267652,170177,198179,162147,184321
Cer d18:1/23:0,636.6,264.3,217604,219114,186170,141980,141725
Cer d18:1/24:0,650.6,264.3,900293,890407,721401,658162,604253
Cer d18:1/24:1,648.6,264.3,319001,314904,310073,214084,184182
Cer d18:1/26:1,676.7,264.3,5414,5358,4378,4047,3281
Cer d18:2/16:0,536.5,262.3,16150,12250,6662,9422,9855
Cer d18:2/17:0,550.5,262.3,483,307,478,237,270
Cer d18:2/18:0,564.6,262.3,8784,8243,6825,6913,5150
Cer d18:2/19:0,578.6,262.3,288,283,213,240,250
Cer d18:2/20:0,592.6,262.3,7812,8614,7654,5911,6442
Cer d18:2/21:0,606.6,262.3,1127,990,972,620,575
Cer d18:2/22:0,620.6,262.3,51363,54876,40263,24155,31206
Cer d18:2/23:0,634.6,262.3,43972,40274,35484,23966,27259
Cer d18:2/24:0,648.6,262.3,177502,176382,127446,106364,72293
Cer d18:2/24:1,646.6,262.3,68450,69269,54689,39181,37956
Cer d18:2/26:1,674.6,262.3,1326,1096,877,746,771
Cer d19:1/16:0,552.6,278.3,1323,1288,875,898,901
Cer d19:1/18:0,580.6,278.3,1299,1200,992,703,634
Cer d19:1/20:0,608.6,278.3,1022,736,980,863,1018
Cer d19:1/22:0,636.6,278.3,14674,15640,10910,8262,9599
Cer d19:1/23:0,650.6,278.3,12853,12875,8775,7581,8086
Cer d19:1/24:0,664.6,278.3,46817,38537,32006,35086,19968
Cer d19:1/24:1,662.6,278.3,18192,16101,17576,12561,11290
Cer d20:1/16:0,566.6,292.3,14,161,134,49,122
Cer d20:1/18:0,594.6,292.3,177,288,197,158,112
Cer d20:1/20:0,622.6,292.3,206,110,175,161,160
Cer d20:1/22:0,650.6,292.3,3763,1616,2155,2581,1589
Cer d20:1/23:0,664.6,292.3,1778,1293,1745,1236,1189
Cer d20:1/24:0,678.6,292.3,7267,6782,6523,5465,4779
Cer d20:1/24:1,676.6,292.3,3555,1823,2196,2496,2424
