Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
Hex2Cer d16:1/18:0,862.6,236.3,5825,5535,5370,5599,5230
Hex2Cer d16:1/20:0,890.7,236.3,1928,1585,1568,1624,1580
Hex2Cer d16:1/22:0,918.7,236.3,2289,3274,2335,3100,2475
Hex2Cer d16:1/24:0,946.7,236.3,1720,1366,1701,1892,1322
Hex2Cer d18:1/16:0,862.6,264.3,1308376,1380871,1173262,1158098,1246168
Hex2Cer d18:1/18:0,890.7,264.3,21896,23431,21403,21035,18579
Hex2Cer d18:1/20:0,918.7,264.3,10329,8178,9087,8368,9034
Hex2Cer d18:1/22:0,946.7,264.3,40026,40485,38493,39963,34207
Hex2Cer d18:1/24:0,974.8,264.3,42016,40753,36207,37170,35646
Hex2Cer d18:1/24:1,972.7,264.3,109836,105075,111240,114395,95449
Hex2Cer d18:2/18:0,888.7,262.3,5369,5892,5563,5276,5090
Hex2Cer d18:2/20:0,916.7,262.3,3489,3644,3313,3589,3481
Hex2Cer d18:2/22:0,944.7,262.3,10505,11075,10990,9666,11117
Hex2Cer d18:2/24:0,972.7,262.3,8673,8082,9138,7344,8238
