Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
LPC 14:0,468.3,184.1,38802,28581,34779,31684,28361
LPC 15:0,482.3,184.1,35811,29809,33208,33252,31808
LPC 16:0,496.3,184.1,5282635,4551426,5227399,4545005,5097522
LPC 16:1,494.3,184.1,72299,75687,70652,62582,73972
LPC 17:0,510.4,184.1,262664,197101,206143,219584,211215
LPC 17:1,508.4,184.1,26495,26321,24095,24724,24843
LPC 18:0,524.4,184.1,2057661,1934795,2045072,2000268,1889881
LPC 18:1,522.4,184.1,923934,823894,766175,804199,862452
LPC 18:2,520.3,184.1,1075830,990021,1055675,678295,1036710
LPC 18:3,518.3,184.1,20285,20246,18416,16752,15619
LPC 19:0,538.4,184.1,14537,13354,15487,13618,14254
LPC 19:1,536.4,184.1,23938,21526,21566,21375,21764
LPC 20:0,552.4,184.1,48317,52776,42850,47086,43612
LPC 20:1,550.4,184.1,10699,12978,10999,11670,12275
LPC 20:2,548.4,184.1,22969,19113,20182,18145,18851
LPC 20:3,546.4,184.1,122271,115874,125385,89821,83818
LPC 20:4,544.3,184.1,357042,337447,329292,315617,297167
LPC 20:5,542.3,184.1,16268,19977,19449,16616,16168
LPC 22:0,580.4,184.1,1274,1329,1211,1469,1487
LPC 22:1,578.4,184.1,849,791,778,775,882
LPC 22:5,570.4,184.1,26439,27089,28929,29699,28975
LPC 22:6,568.3,184.1,51744,59190,58279,52391,50418
LPC 24:0,608.5,184.1,1375,1849,1990,1680,1427
LPC 26:0,636.5,184.1,1076,1286,594,1075,790
