Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
LPC O-16:0,482.4,104.1,126217,123511,127771,129780,133486
LPC O-16:1,480.4,104.1,34839,28751,33354,28566,27140
LPC O-18:0,510.4,104.1,120223,102440,98215,90210,97336
LPC O-18:1,508.4,104.1,78905,67061,86756,77915,72514
LPC O-20:0,538.4,104.1,9853,10518,8696,10527,9258
LPC O-20:1,536.4,104.1,38310,38907,33189,40466,35638
LPC O-20:2,534.4,104.1,322963,279297,214033,258386,247400
LPC O-20:3,532.4,104.1,15786,13243,14912,14736,14949
LPC O-20:4,530.4,104.1,4134,4091,4169,4141,4341
LPC O-20:5,528.3,104.1,1816,2034,2157,2082,1757
LPC O-22:0,566.5,104.1,38162,29056,30016,34503,27182
LPC O-22:1,564.4,104.1,32152,29213,35303,33211,31847
LPC O-22:5,556.4,104.1,1838,1593,1974,1839,1567
LPC O-22:6,554.4,104.1,2428,2636,2819,2954,2228
LPC O-24:0,594.5,104.1,4614,5220,5270,5111,5343
LPC O-24:1,592.5,104.1,11444,12181,11373,10794,11729
