Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
LPC O-16:0,482.4,184.1,31945,31180,26908,29323,36376
LPC O-16:1,480.4,184.1,5858,2951,4029,5826,4853
LPC O-18:0,510.4,184.1,262664,197101,206143,219584,211215
LPC O-18:1,508.4,184.1,26495,26391,24095,24719,24843
LPC O-20:0,538.4,184.1,14543,13448,15655,13686,14319
LPC O-20:1,536.4,184.1,24016,21774,21751,21839,21826
LPC O-20:2,534.4,184.1,1548,1624,1542,1462,1151
LPC O-20:3,532.4,184.1,281,279,312,168,230
LPC O-20:4,530.4,184.1,106,60,137,118,80
LPC O-20:5,528.3,184.1,468,451,502,390,360
LPC O-22:0,566.5,184.1,622,928,818,796,653
LPC O-22:1,564.4,184.1,613,729,624,719,673
LPC O-22:5,556.4,184.1,160,359,267,338,269
LPC O-22:6,554.4,184.1,2503,2584,2201,2736,2428
LPC O-24:0,594.5,184.1,939,697,935,952,1097
LPC O-24:1,592.5,184.1,374,332,522,516,399
