Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
LPE 16:0,454.3,313.3,29784,28509,31135,30037,28567
LPE 16:1,452.3,311.3,945,669,787,753,475
LPE 16:2,450.2,309.2,182,70,63,65,23
LPE 16:3,448.2,307.2,151,70,182,117,145
LPE 18:0,482.3,341.3,59451,53677,47966,53116,53669
LPE 18:1,480.3,339.3,28436,28119,26276,29247,28480
LPE 18:2,478.3,337.3,30038,27944,32103,27531,28428
LPE 18:3,476.3,335.3,1113,828,796,968,622
LPE 20:4,502.3,361.3,19300,18606,19763,19261,21137
LPE 22:6,526.3,385.3,9489,10118,10213,10995,10534
