Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PC 28:1,676.5,184.1,1174,969,943,974,778
PC 28:0,678.5,184.1,387554,413067,348277,324562,317897
PC 29:1,690.4,184.1,4468,3666,4018,3502,3148
PC 29:0,692.5,184.1,13399,15877,12106,11191,10460
PC 30:0,706.5,184.1,142293,135346,147157,163506,155576
PC 31:2,716.6,184.1,17718,18360,18235,16037,18368
PC 31:1,718.5,184.1,81250,83840,78169,67427,67235
PC 31:0,720.6,184.1,190706,189047,164957,147477,132854
PC 32:3,728.5,184.1,4729,5529,5327,5158,4918
PC 32:2,730.5,184.1,108078,90096,89619,103395,94413
PC 32:1,732.6,184.1,515351,372419,401702,392586,380568
PC 32:0,734.6,184.1,704729,497825,454918,641368,582982
PC 33:4,740.6,184.1,10778,9472,9604,9551,9689
PC 33:3,742.5,184.1,518653,438247,471482,419062,486308
PC 33:2,744.6,184.1,392813,408918,404490,345798,336263
PC 33:1,746.6,184.1,224042,190185,191660,198335,171352
PC 33:0,748.6,184.1,50845,54278,41284,44344,44582
PC 34:5,752.5,184.1,8729,7480,8578,7244,7306
PC 34:4,754.5,184.1,45863,38534,36708,41755,39292
PC 34:3,756.6,184.1,290714,299448,317973,291515,304874
PC 34:2,758.6,184.1,8725455,7947242,8026358,6892316,6684183
PC 34:1,760.6,184.1,4807848,4796106,4493070,4933351,4292652
PC 34:0,762.6,184.1,404578,342089,402675,342379,355046
PC 35:6,764.6,184.1,50019,51963,45052,54602,42955
PC 35:5,766.5,184.1,1132294,1165804,972407,1235500,1083632
PC 35:4,768.6,184.1,1208480,1038547,1188865,1004930,1009629
PC 35:3,770.6,184.1,392006,388897,347958,362760,363461
PC 35:2,772.6,184.1,307275,262800,296666,288064,271909
PC 35:1,774.6,184.1,301786,304975,292386,305362,330410
PC 35:0,776.6,184.1,66881,63963,59005,56805,52835
PC 36:6,778.5,184.1,23282,24039,21337,26146,22602
PC 36:5,780.6,184.1,648257,651123,648881,669882,575904
PC 36:4,782.6,184.1,10621201,11332590,10761894,12901395,10550526
PC 36:3,784.6,184.1,6156018,5166897,5618479,5062047,5093555
PC 36:2,786.6,184.1,10100152,8622914,7311387,7876835,8199666
PC 36:1,788.6,184.1,1845497,1989375,1503472,1768757,1777306
PC 36:0,790.6,184.1,298370,263801,235959,258929,232405
PC 37:6,792.6,184.1,426166,527619,439110,394028,422932
PC 37:5,794.6,184.1,1113931,1073541,1005704,935117,870765
PC 37:4,796.6,184.1,801677,811803,771733,746688,752958
PC 37:3,798.6,184.1,333772,329146,280695,273234,255997
PC 37:2,800.6,184.1,147246,147239,134464,127359,146744
PC 37:1,802.6,184.1,104745,92614,86437,86042,83701
PC 37:0,804.6,184.1,67270,54807,57602,62027,62769
PC 38:6,806.6,184.1,3391055,3115413,3269374,2769664,2514549
PC 38:5,808.6,184.1,3719838,3138881,2752483,2753928,2784576
PC 38:4,810.6,184.1,8818741,7501069,7350177,7606047,6294577
PC 38:3,812.6,184.1,2690565,2883127,2550378,2573255,2116101
PC 38:2,814.6,184.1,390291,446976,390004,369750,365633
PC 39:8,816.6,184.1,71364,76470,64389,63561,56661
PC 39:7,818.6,184.1,150906,149147,128183,124382,122731
PC 39:6,820.6,184.1,242426,198935,221418,187895,214537
PC 39:5,822.6,184.1,262372,233502,231649,220155,225706
PC 40:8,830.6,184.1,74907,75942,75791,74941,69432
PC 40:7,832.6,184.1,311817,240377,296754,252155,217940
PC 40:6,834.6,184.1,1525528,1508783,1359943,1328937,1236835
PC 40:5,836.6,184.1,810931,808952,704558,734412,774701
PC 40:4,838.6,184.1,400778,365322,311740,284334,295369
PC 40:3,840.6,184.1,62640,51729,55105,48676,52723
PC 40:2,842.7,184.1,38395,34583,33860,35148,32388
PC 40:1,844.7,184.1,21704,20487,21283,19867,20751
PC 40:0,846.7,184.1,32000,31557,29499,27717,25810
