Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PC 14:0/16:0,750.5,255.2,22620,23484,23402,22219,18412
PC 14:0/20:4,798.5,303.3,313,437,228,304,188
PC 14:0/22:6,822.5,327.2,95,204,214,189,116
PC 15:0/16:0,764.6,255.2,3352,3881,5021,4571,4241
PC 15:0/18:1,790.6,281.2,2981,3127,3221,3807,3101
PC 15:0/18:2,788.6,279.2,174,312,139,208,161
PC 15:1/16:0,762.5,255.2,728,829,956,663,689
PC 15:1/18:0,790.6,283.2,538,587,488,528,566
PC 15:1/18:1,788.6,281.2,3427,2799,3899,3060,2403
PC 16:0/14:0,750.5,227.2,10967,13413,14214,11245,8365
PC 16:0/15:0,764.6,241.2,2019,2353,2673,2117,2224
PC 16:0/16:0,778.6,255.2,169453,149829,161517,170092,125927
PC 16:0/16:1,776.6,253.2,23633,24694,24435,20814,21847
PC 16:0/17:0,792.6,269.2,1453,1636,1573,1664,1561
PC 16:0/18:0,806.6,283.2,12678,13173,11779,12588,11292
PC 16:0/18:1,804.6,281.2,274724,299353,380336,375507,301708
PC 16:0/20:1,832.6,309.2,4077,4740,4397,4554,4987
PC 16:0/20:3,828.6,305.2,12381,15935,13861,13805,10996
PC 16:0/20:4,826.6,303.3,64950,77151,83564,64407,59078
PC 16:0/22:1,860.6,337.2,36,180,156,99,54
PC 16:0/22:4,854.6,331.3,7636,8147,7624,8268,6817
PC 16:0/22:5,852.6,329.3,5017,5035,4938,4768,4310
PC 16:0/22:6,850.6,327.2,30294,35972,26484,25896,23374
PC 16:1/16:0,776.6,255.2,22637,23274,25167,21464,16688
PC 16:1/16:1,774.5,253.2,881,666,843,916,801
PC 16:1/18:1,802.6,281.2,6664,7032,6886,6255,5228
PC 16:1/18:2,800.6,279.2,238,353,219,296,394
PC 16:1/20:4,824.6,303.3,913,1356,1825,1193,1293
PC 17:0/16:0,792.6,255.2,1225,1504,1664,1721,1469
PC 17:0/18:2,816.6,279.2,176,141,222,59,83
PC 17:1/18:1,816.6,281.2,2850,2699,2516,2652,2658
PC 18:0/16:0,806.6,255.2,16869,20402,18884,19435,15282
PC 18:0/18:0,834.6,283.2,3421,4744,4040,3629,3788
PC 18:0/18:1,832.6,281.2,56773,72510,74053,60005,56123
PC 18:0/18:2,830.6,279.2,4756,5144,5440,5457,4848
PC 18:0/20:1,860.6,309.3,892,1144,1175,950,881
PC 18:0/20:2,858.6,307.3,702,950,626,837,649
PC 18:0/20:3,856.6,305.2,8972,9887,10412,10258,8485
PC 18:0/20:4,854.6,303.2,38920,46162,43334,42185,37153
PC 18:0/22:6,878.6,327.2,24252,28693,27783,25702,24973
PC 18:1/15:1,788.6,239.2,1,2,20,5,2
PC 18:1/16:0,804.6,255.2,125764,132387,145926,117892,108229
PC 18:1/16:1,802.6,253.2,3745,3792,3166,3677,3224
PC 18:1/17:1,816.6,267.2,290,410,473,257,513
PC 18:1/18:0,832.6,283.2,17252,20682,22586,17445,18696
PC 18:1/18:1,830.6,281.2,29408,33772,32857,29971,30702
PC 18:1/18:2,828.6,279.2,2142,2814,1792,2225,1642
PC 18:1/20:1,858.6,309.3,889,1119,1347,1155,890
PC 18:1/20:4,852.6,303.2,9483,11715,10486,10783,9064
PC 18:1/22:6,876.6,327.2,8216,8430,8267,7212,8052
PC 18:2/16:1,800.6,253.2,246,190,340,163,185
PC 18:2/18:0,830.6,283.2,2164,1975,1925,1622,1560
PC 18:2/18:1,828.6,281.2,2270,2233,2400,1956,1579
PC 18:2/22:2,882.6,335.3,1,2,2,3,1
PC 18:2/22:6,874.6,327.2,317,446,398,356,270
PC 20:0/20:4,882.6,303.2,225,234,284,255,190
PC 20:1/16:0,832.6,255.2,4380,4541,4566,5394,5199
PC 20:1/18:0,860.6,283.2,332,591,491,302,366
PC 20:1/18:1,858.6,281.2,1644,1955,1737,1540,1604
PC 20:1/20:4,880.6,303.2,1377,841,1376,1270,1247
PC 20:2/18:0,858.6,283.2,465,456,480,375,203
PC 20:3/16:0,828.6,255.2,5722,6121,7147,6132,6168
PC 20:3/18:0,856.6,283.2,2446,3345,2869,2557,2403
PC 20:3/22:6,900.6,327.2,608,510,492,474,345
PC 20:4/14:0,798.5,227.2,91,95,79,99,12
PC 20:4/16:0,826.6,255.2,17800,18787,16182,17062,16143
PC 20:4/16:1,824.6,253.2,290,299,340,290,402
PC 20:4/18:0,854.6,283.2,11752,15553,15223,12235,9426
PC 20:4/18:1,852.6,281.2,3591,3521,3487,3381,2978
PC 20:4/20:0,882.6,311.3,23,58,31,60,3
PC 20:4/20:1,880.6,309.3,481,513,706,563,742
PC 20:4/20:4,874.6,303.2,366,732,590,483,338
PC 20:4/22:6,898.6,327.2,695,716,579,537,893
PC 22:1/16:0,860.6,255.2,34,118,99,63,84
PC 22:2/18:2,882.6,279.2,3,1,1,3,2
PC 22:4/16:0,854.6,255.2,2170,2333,2552,2634,2308
PC 22:5/16:0,852.6,255.2,2891,2800,3471,3384,2522
PC 22:6/14:0,822.5,227.2,103,207,108,110,90
PC 22:6/16:0,850.6,255.2,14061,15639,15481,15154,14787
PC 22:6/18:0,878.6,283.2,17469,15667,13382,14801,11465
PC 22:6/18:1,876.6,281.2,4139,5330,5702,4257,3193
PC 22:6/18:2,874.6,279.2,174,265,224,87,225
PC 22:6/20:3,900.6,305.3,283,286,449,250,300
PC 22:6/20:4,898.6,303.2,2188,1484,1692,1856,1498
PC 22:6/22:6,922.6,327.2,2671,2840,3530,2775,2472
