Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PE 32:1,690.5,549.5,5862,7478,5372,6289,6471
PE 33:2,702.5,561.5,19619,22310,20904,20387,20560
PE 33:3,700.5,559.5,16422,21557,22056,16738,20718
PE 34:0,720.6,579.6,10265,12008,11411,12011,10132
PE 34:1,718.5,577.5,86555,91009,99769,91019,90682
PE 34:2,716.5,575.5,158308,191156,134754,162465,172550
PE 35:2,730.5,589.5,31425,31710,34001,34653,31550
PE 35:3,728.6,587.5,54711,61234,55781,61590,60548
PE 35:4,726.5,585.5,100741,92450,82941,85058,88415
PE 35:5,724.5,583.5,58667,66359,63844,61691,71059
PE 36:1,746.6,605.6,124798,127845,105882,115035,113357
PE 36:2,744.6,603.5,502692,461599,499835,472740,420450
PE 36:3,742.5,601.5,150832,146863,143021,162103,163564
PE 36:4,740.5,599.5,185900,179982,208940,211773,206697
PE 37:1,760.6,619.6,3494,2460,3878,3160,2979
PE 37:2,758.6,617.6,4769,6087,4656,4603,4713
PE 37:3,756.6,615.6,14150,13801,14599,12784,13317
PE 37:4,754.5,613.5,91172,102139,83624,98026,85967
PE 37:5,752.5,611.5,178470,170977,164679,191771,174044
PE 37:6,750.5,609.5,108954,103782,111653,108052,118062
PE 37:7,748.5,607.5,38830,40534,39228,38189,38117
PE 38:1,774.6,633.6,15721,15305,14389,14024,15975
PE 38:2,772.6,631.6,11848,12643,11811,12032,11397
PE 38:3,770.6,629.6,99561,87653,101413,95739,102005
PE 38:4,768.6,627.5,489398,518672,505524,539777,530200
PE 38:5,766.5,625.5,179762,169852,174291,172387,136942
PE 38:6,764.5,623.5,131556,163812,158951,171607,161685
PE 38:7,762.5,621.5,8556,8732,8408,9076,7761
PE 39:5,780.6,639.6,29325,29934,27205,29179,29502
PE 39:6,778.5,637.5,41379,41787,42931,42204,36814
PE 39:7,776.6,635.5,35499,35115,31543,36889,36440
PE 40:3,798.6,657.6,3260,2878,4034,2789,3371
PE 40:4,796.6,655.6,20275,21058,17287,20525,17750
PE 40:5,794.6,653.6,39952,51070,44123,51678,39918
PE 40:6,792.6,651.5,86506,87092,79376,88608,87108
PE 40:7,790.5,649.5,19068,21248,18432,20455,22796
PE 40:8,788.5,647.5,3809,4613,4851,4276,3892
PE 41:1,816.6,675.6,1158,824,678,658,929
PE 41:2,814.6,673.6,1765,2386,2432,2061,1993
PE 41:3,812.6,671.6,2289,2346,1578,2193,2363
PE 41:4,810.6,669.6,2065,2084,1877,1894,1992
PE 41:5,808.6,667.6,2817,2742,3014,2536,2573
PE 41:6,806.6,665.6,3253,3752,2907,3686,3198
PE 41:7,804.6,663.6,1977,2537,2289,1984,2372
PE 41:8,802.5,661.5,1176,1489,1794,1480,1231
PE 42:4,824.6,683.6,233,391,455,463,570
PE 42:5,822.6,681.6,751,417,617,492,586
PE 42:6,820.6,679.6,1134,797,577,757,715
PE 42:7,818.6,677.6,685,794,818,638,649
