Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PE 15:0/20:4,724.5,303.2,5713,6375,5396,4965,5354
PE 15:0/22:6,748.5,327.2,12677,11329,11454,11847,11008
PE 15:1/20:1,728.5,309.3,10821,13197,9806,10271,10309
PE 15:1/20:4,722.5,303.2,43428,38781,35082,36680,30483
PE 15:1/22:4,750.5,331.3,94368,77852,77007,87726,80544
PE 15:1/22:6,746.5,327.2,82478,71179,77928,71048,61178
PE 16:0/16:1,688.5,253.2,13328,11189,10678,11042,10956
PE 16:0/18:0,718.5,283.2,2835,2347,2187,2154,2144
PE 16:0/18:1,716.5,281.2,67543,67521,64145,57285,46505
PE 16:0/18:2,714.5,279.2,3273,3216,2996,2646,2665
PE 16:0/20:1,744.6,309.3,1500,1426,1102,1176,1296
PE 16:0/20:2,742.6,307.3,1499,1518,1076,1301,1467
PE 16:0/20:3,740.5,305.3,8498,6850,6113,6612,6865
PE 16:0/20:4,738.5,303.2,35129,37351,30001,36196,28662
PE 16:0/22:4,766.6,331.3,28038,27656,24739,25693,24591
PE 16:0/22:5,764.6,329.2,11213,8700,10163,10504,10033
PE 16:0/22:6,762.5,327.2,77243,63512,62721,59252,57625
PE 16:1/16:0,688.5,255.2,7943,6051,6499,6987,5580
PE 16:1/18:1,714.5,281.2,17840,14805,14589,14179,13798
PE 16:1/22:6,760.5,327.2,10185,8549,8436,7552,8773
PE 17:0/20:1,758.6,309.3,388,413,423,245,404
PE 17:0/20:4,752.5,303.2,10082,8590,7862,8919,7510
PE 17:0/22:6,776.5,327.2,24891,20343,21279,20510,17959
PE 17:0/24:6,804.6,355.3,88,27,81,58,96
PE 17:1/16:1,700.5,253.2,4071,3362,3216,3011,2844
PE 17:1/18:1,728.5,281.2,30607,31288,28837,25483,28293
PE 17:1/20:0,758.6,311.3,250,256,203,277,227
PE 17:1/20:1,756.6,309.3,6651,6147,6273,5638,4875
PE 17:1/20:3,752.5,305.3,13796,12379,12124,13648,11727
PE 17:1/20:4,750.5,303.2,136360,117489,117069,104239,120695
PE 17:1/22:4,778.6,331.3,140859,150094,123580,133478,127365
PE 17:1/22:6,774.6,327.2,367552,326003,345612,301268,253248
PE 17:1/24:5,804.6,357.3,1708,1539,1687,1789,1635
PE 17:1/24:6,802.6,355.3,1217,1164,1034,887,1166
PE 17:2/16:0,700.5,255.2,26367,22332,23278,24500,24412
PE 18:0/16:0,718.5,255.2,1685,1652,1286,1686,1640
PE 18:0/18:1,744.6,281.2,44860,49123,37126,37799,35590
PE 18:0/19:0,758.6,297.2,149,148,64,123,80
PE 18:0/20:1,772.5,309.3,2115,2160,2057,1731,1833
PE 18:0/20:3,768.6,305.3,29005,29687,29834,25958,24010
PE 18:0/20:4,766.6,303.2,172913,137857,120621,134730,151763
PE 18:0/22:4,794.6,331.3,69085,61427,67558,57806,61841
PE 18:0/22:6,790.6,327.2,289278,216915,215687,258115,225679
PE 18:1/16:0,716.5,255.2,26790,21107,18764,21843,17224
PE 18:1/16:1,714.5,253.2,10110,8025,8450,8035,7092
PE 18:1/17:1,728.5,267.3,6547,5351,5643,5157,4978
PE 18:1/18:0,744.6,283.2,17763,13356,12231,12160,12187
PE 18:1/18:1,742.6,281.2,120782,121045,109881,102330,118175
PE 18:1/20:1,770.6,309.3,4305,4391,3728,3885,3205
PE 18:1/20:2,768.6,307.3,2997,2195,2071,2288,2110
PE 18:1/20:4,764.6,303.2,55785,54947,54996,58238,51400
PE 18:1/22:4,792.6,331.3,15304,13160,14101,14672,13678
PE 18:1/22:6,788.5,327.2,31099,26559,27756,24821,27788
PE 18:2/16:0,714.5,255.2,2351,1631,1604,1982,1885
PE 18:2/20:0,770.6,311.3,62,47,34,22,17
PE 18:2/20:1,768.6,309.3,567,530,448,604,348
PE 18:2/22:6,786.6,327.2,2335,2255,2338,1955,2124
PE 19:1/18:0,758.6,283.2,310,273,169,179,252
PE 19:1/22:6,802.6,327.2,2288,2242,1733,1924,2246
PE 20:0/20:3,796.6,305.3,94,32,96,127,47
PE 20:0/22:4,822.6,331.3,248,165,263,239,130
PE 20:0/22:6,818.6,327.2,468,572,518,425,236
PE 20:1/15:1,728.5,239.2,19,64,89,67,175
PE 20:1/16:0,744.6,255.2,807,676,863,655,823
PE 20:1/18:0,772.5,283.2,21307,19681,20450,21305,20880
PE 20:1/18:1,770.6,281.2,2596,2579,2323,2354,1858
PE 20:1/20:2,796.6,307.3,11,5,25,25,18
PE 20:1/22:4,820.6,331.3,673,431,596,587,443
PE 20:1/22:6,816.6,327.2,2237,1734,2232,1497,1825
PE 20:2/16:0,742.6,255.2,1247,1152,931,793,931
PE 20:2/18:0,770.6,283.2,1286,1036,1181,874,850
PE 20:2/18:1,768.6,281.2,2484,2056,1739,2230,2158
PE 20:2/20:1,796.6,309.3,86,133,33,77,118
PE 20:3/16:0,740.5,255.2,3437,2899,3204,2941,3282
PE 20:3/18:0,768.6,283.2,11200,12273,10344,10395,9499
PE 20:3/20:0,796.6,311.3,63,122,43,54,44
PE 20:4/16:0,738.5,255.2,13460,10968,11572,10355,9006
PE 20:4/18:0,766.6,283.2,58765,55436,47767,49876,43964
PE 20:4/18:1,764.6,281.2,23344,26073,21065,19161,19772
PE 20:4/20:0,822.6,311.3,30,7,14,8,25
PE 22:4/16:0,766.6,255.2,8562,7848,7524,6725,6729
PE 22:4/18:0,794.6,283.2,20937,23855,19577,18056,17955
PE 22:4/18:1,792.6,281.2,5689,4086,4360,4954,3774
PE 22:4/20:1,820.6,309.3,213,191,119,73,91
PE 22:4/22:6,838.5,327.2,8373,8125,8167,6647,5724
PE 22:5/16:0,764.6,255.2,6589,5406,5137,4649,5625
PE 22:6/16:0,762.5,255.2,42561,39302,36232,35937,37099
PE 22:6/16:1,760.5,253.2,1151,804,1033,999,797
PE 22:6/17:1,774.6,267.3,3936,3769,3362,3878,3584
PE 22:6/18:0,790.6,283.2,256004,211183,241026,220482,186159
PE 22:6/18:1,788.5,281.2,20968,20457,17363,14864,14940
PE 22:6/18:2,786.6,279.2,1066,757,718,694,799
PE 22:6/20:0,818.6,311.3,240,119,216,253,227
PE 22:6/20:1,816.6,309.3,1065,1145,1028,807,1088
PE 22:6/22:4,838.5,331.3,6773,6438,4925,6108,4953
PE 22:6/22:6,834.5,327.2,14494,12839,12492,9988,11649
