Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PE 32:1,688.5,196,196,325,569,541,357
PE 33:2,700.5,196,635,502,503,412,407
PE 33:3,698.5,196,71,52,156,29,51
PE 34:0,718.6,196,72,140,48,59,111
PE 34:1,716.5,196,794,696,961,866,623
PE 34:2,714.5,196,232,238,318,186,334
PE 35:2,728.5,196,160,271,377,138,204
PE 35:3,726.6,196,687,765,744,710,672
PE 35:4,724.5,196,122,57,62,47,200
PE 35:5,722.5,196,305,209,219,281,272
PE 36:1,744.6,196,408,360,405,297,502
PE 36:2,742.6,196,1163,756,910,961,900
PE 36:3,740.5,196,162,265,212,253,234
PE 36:4,738.5,196,597,746,380,461,263
PE 37:1,758.6,196,27,2,26,52,19
PE 37:2,756.6,196,14,80,101,52,45
PE 37:3,754.6,196,115,120,35,50,223
PE 37:4,752.5,196,227,317,302,170,286
PE 37:5,750.5,196,1452,1223,1413,1179,1369
PE 37:6,748.5,196,835,1011,786,950,1005
PE 37:7,746.5,196,1172,1361,963,970,935
PE 38:1,772.6,196,917,813,636,550,551
PE 38:2,770.6,196,49,69,160,96,136
PE 38:3,768.6,196,457,432,394,498,464
PE 38:4,766.6,196,2016,2529,2348,1864,2174
PE 38:5,764.5,196,980,1038,1087,1059,823
PE 38:6,762.5,196,1752,1557,2132,1259,1661
PE 38:7,760.5,196,228,91,101,172,148
PE 39:5,778.6,196,651,598,985,691,612
PE 39:6,776.5,196,1076,1055,1199,684,672
PE 39:7,774.6,196,3730,2530,3238,3025,3377
PE 40:3,796.6,196,60,139,34,48,101
PE 40:4,794.6,196,872,669,574,500,528
PE 40:5,792.6,196,1362,927,764,978,971
PE 40:6,790.6,196,5878,4653,5039,4529,5592
PE 40:7,788.5,196,851,643,403,629,591
PE 40:8,786.5,196,131,200,100,92,3
PE 41:1,814.6,196,63,105,36,110,58
PE 41:2,812.6,196,160,33,139,98,115
PE 41:3,810.6,196,44,35,52,31,87
PE 41:4,808.6,196,3,2,1,13,35
PE 41:5,806.6,196,26,32,20,21,33
PE 41:6,804.6,196,66,74,21,95,76
PE 41:7,802.6,196,12,50,64,53,60
PE 41:8,800.5,196,32,54,39,9,15
PE 42:4,822.6,196,7,2,23,18,24
PE 42:5,820.6,196,2,2,56,10,12
PE 42:6,818.6,196,40,59,98,29,59
PE 42:7,816.6,196,47,2,42,34,94
