Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PE P-15:0/20:4,710.5,361.3,2091,1951,1764,1754,1832
PE P-15:0/22:6,734.5,385.3,1392,1449,1438,1448,1019
PE P-16:0/18:1,702.5,339.3,32044,29888,30935,26697,29472
PE P-16:0/18:2,700.5,337.3,96089,75432,80538,84061,80508
PE P-16:0/18:3,698.5,335.3,2273,2830,2761,2639,2416
PE P-16:0/20:3,726.5,363.3,34156,27647,28804,27836,27782
PE P-16:0/20:4,724.5,361.3,332773,290773,296330,287093,242635
PE P-16:0/20:5,722.5,359.3,19784,18763,21265,18456,19310
PE P-16:0/22:4,752.5,389.3,25437,25226,27039,23768,24726
PE P-16:0/22:5,750.5,387.3,72941,61863,65513,74457,63088
PE P-16:0/22:6,748.5,385.3,102527,111783,109227,108417,117851
PE P-17:0/20:4,738.5,361.3,23787,22609,24380,22819,22191
PE P-17:0/22:6,762.5,385.3,6912,7079,5339,4966,7062
PE P-18:0/18:1,730.5,339.3,34850,29547,31994,31350,31150
PE P-18:0/18:2,728.5,337.3,115574,100797,121735,114709,98373
PE P-18:0/18:3,726.5,335.3,4334,3963,3526,3841,3270
PE P-18:0/20:3,754.5,363.3,39068,31440,31948,29714,31362
PE P-18:0/20:4,752.5,361.3,355843,341079,374521,385265,331874
PE P-18:0/20:5,750.5,359.3,28321,29663,29685,27730,29587
PE P-18:0/22:4,780.5,389.3,9732,10414,12123,11764,11618
PE P-18:0/22:5,778.5,387.3,28385,29768,27918,30125,29318
PE P-18:0/22:6,776.5,385.3,70335,75072,71210,61957,60931
PE P-18:1/18:1,728.5,339.3,20321,16084,21256,18043,18394
PE P-18:1/18:2,726.5,337.3,55129,50938,51936,45959,44994
PE P-18:1/18:3,724.5,335.3,2592,2508,2869,2744,2007
PE P-18:1/20:3,752.5,363.3,13155,13334,14378,12872,13021
PE P-18:1/20:4,750.5,361.3,196018,186371,186386,165623,173936
PE P-18:1/20:5,748.5,359.3,13970,11406,10797,11992,11234
PE P-18:1/22:4,778.5,389.3,5224,5312,4722,5591,5090
PE P-18:1/22:5,776.5,387.3,14407,14876,15434,13828,13689
PE P-18:1/22:6,774.5,385.3,36110,41010,41274,41961,40777
PE P-19:0/20:4,766.6,361.3,3656,3157,2824,2994,3017
PE P-19:0/22:6,790.6,385.3,794,912,640,692,806
PE P-20:0/18:1,758.6,339.3,2318,2868,2741,2540,2725
PE P-20:0/18:2,756.6,337.3,9058,9798,9076,9357,8787
PE P-20:0/18:3,754.6,335.3,278,225,227,515,320
PE P-20:0/20:3,782.6,363.3,1924,2270,1829,2110,2382
PE P-20:0/20:4,780.6,361.3,15994,15064,17813,13326,15268
PE P-20:0/20:5,778.6,359.3,1394,949,1509,1424,1522
PE P-20:0/22:4,808.6,389.3,298,276,393,414,455
PE P-20:0/22:5,806.6,387.3,1216,1202,1159,1044,1132
PE P-20:0/22:6,804.6,385.3,4101,3816,3640,3580,3277
PE P-20:1/20:4,778.6,361.3,10673,9836,9797,9033,8308
PE P-20:1/22:6,802.6,385.3,2222,2364,1549,1619,2424
