Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PG 32:0,740.5,551.5,596,546,584,847,917
PG 32:1,738.5,549.5,849,657,410,583,482
PG 32:2,736.5,547.5,25,54,17,34,18
PG 34:0,768.6,579.6,1757,1953,1529,1476,2001
PG 34:1,766.6,577.5,12280,13053,13222,12443,12890
PG 34:2,764.6,575.5,4253,4232,3964,4572,3951
PG 34:3,762.5,573.5,77,229,115,174,216
PG 36:0,796.6,607.6,1566,1130,959,1434,984
PG 36:1,794.6,605.6,10779,14383,12283,12444,11309
PG 36:2,792.6,603.5,12216,11549,10494,11633,10839
PG 36:3,790.6,601.6,2210,2833,1990,1919,2433
PG 36:4,788.5,599.5,2065,2092,2126,2414,1905
PG 36:5,786.5,597.5,95,277,29,92,162
PG 38:4,816.6,627.6,1343,1137,1400,1504,1452
PG 38:5,814.6,625.5,796,1301,1231,679,788
PG 38:6,812.5,623.5,737,487,488,787,458
PG 38:7,810.5,621.5,220,100,64,118,4
PG 40:4,844.6,655.6,40,13,32,22,3
PG 40:5,842.6,653.6,109,95,4,100,152
PG 40:6,840.6,651.6,168,102,235,115,137
PG 40:7,838.6,649.6,88,58,65,56,42
PG 40:8,836.5,647.5,59,114,98,42,59
PG 40:9,834.5,645.5,47,8,41,1,1
