Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PG 14:0/18:1,719.5,281.2,489,719,570,689,756
PG 14:0/18:2,717.5,279.2,2,2,48,2,53
PG 14:0/20:2,745.5,307.3,12,31,2,55,1
PG 16:0/16:0,721.5,255.2,3546,4783,4196,5007,4257
PG 16:0/16:1,719.5,253.2,481,512,622,725,629
PG 16:0/18:0,749.6,283.2,2792,2494,2629,3380,2869
PG 16:0/18:1,747.5,281.2,85574,92083,86889,99993,119669
PG 16:0/18:2,745.5,279.2,646,445,896,657,536
PG 16:0/20:1,775.5,309.3,260,445,490,266,277
PG 16:0/20:4,769.5,303.2,8667,12808,11295,15002,11009
PG 16:0/22:4,797.6,331.3,551,862,840,554,732
PG 16:0/22:6,793.5,327.2,1270,1392,987,1336,1393
PG 16:1/16:0,719.5,255.2,500,383,816,732,464
PG 16:1/16:1,717.5,253.2,105,28,21,34,48
PG 16:1/18:1,745.5,281.2,2372,2246,3162,2621,2575
PG 16:1/18:2,743.5,279.2,94,111,219,162,88
PG 16:1/20:4,767.5,303.2,416,395,381,546,273
PG 16:1/22:6,791.5,327.2,72,56,91,129,90
PG 17:0/17:0,749.6,269.2,10,20,18,40,7
PG 18:0/16:0,749.6,255.2,2186,1867,2616,2582,2308
PG 18:0/18:0,777.6,283.2,730,704,783,865,817
PG 18:0/18:1,775.5,281.2,10579,9036,12720,10340,12801
PG 18:0/20:4,797.6,303.2,20396,22292,22908,22981,23905
PG 18:0/22:6,821.5,327.2,1343,1437,1385,1232,1639
PG 18:1/14:0,719.5,227.2,178,176,264,194,161
PG 18:1/16:0,747.5,255.2,21930,24890,26877,26543,24857
PG 18:1/16:1,745.5,253.2,1025,948,1249,855,1336
PG 18:1/18:0,775.5,283.2,3991,4763,3579,3728,4095
PG 18:1/18:1,773.5,281.2,18850,21464,17923,21440,19049
PG 18:1/18:2,771.5,279.2,501,957,1044,836,1135
PG 18:1/20:4,795.6,303.2,3963,4110,4469,4957,4683
PG 18:1/22:6,819.5,327.2,705,787,649,979,841
PG 18:2/14:0,717.5,227.2,3,2,5,18,2
PG 18:2/16:0,745.5,255.2,306,424,537,538,431
PG 18:2/16:1,743.5,253.2,1,90,118,156,80
PG 18:2/18:1,771.5,281.2,2046,2048,2389,2037,1676
PG 18:2/20:4,793.5,303.2,721,479,576,631,356
PG 20:1/16:0,775.5,255.2,111,236,139,227,303
PG 20:2/14:0,745.5,227.2,64,14,15,49,33
PG 20:3/22:6,843.6,327.2,32,45,141,75,72
PG 20:4/16:0,769.5,255.2,2818,3230,3668,3636,3606
PG 20:4/16:1,767.5,253.2,73,90,176,194,151
PG 20:4/18:0,797.6,283.2,6969,7437,8902,7787,7810
PG 20:4/18:1,795.6,281.2,1858,1629,2401,2144,2099
PG 20:4/18:2,793.5,279.2,155,406,471,333,402
PG 22:4/16:0,797.6,255.2,193,170,125,284,241
PG 22:6/16:0,793.5,255.2,668,624,697,851,536
PG 22:6/16:1,791.5,253.2,51,50,50,95,53
PG 22:6/18:0,821.5,283.2,916,1017,1528,1094,1210
PG 22:6/18:1,819.5,281.2,378,653,606,623,603
PG 22:6/20:3,843.6,305.3,64,56,65,79,49
