Name,Precursor,Product,Sample 1 ,Sample 2,Sample 3,Sample 4,Sample 5
PG 32:0,721.5,153,889,2712,2847,2995,2404
PG 32:1,719.5,153,684,3012,4240,3306,3700
PG 32:2,717.5,153,56,48,79,84,55
PG 34:0,749.6,153,1006,866,931,1179,922
PG 34:1,747.6,153,8730,10556,11930,11166,11168
PG 34:2,745.6,153,421,741,1220,742,796
PG 34:3,743.5,153,94,109,121,182,99
PG 36:0,777.6,153,186,256,178,143,145
PG 36:1,775.6,153,1365,1449,1467,1079,1048
PG 36:2,773.6,153,1815,1847,1969,2136,2157
PG 36:3,771.6,153,369,343,401,314,237
PG 36:4,769.5,153,877,678,756,722,861
PG 36:5,767.5,153,26,22,47,47,18
PG 38:4,797.6,153,2062,1689,1476,1555,1401
PG 38:5,795.6,153,529,460,465,351,452
PG 38:6,793.5,153,199,267,229,255,122
PG 38:7,791.5,153,44,7,10,27,17
PG 40:4,825.6,153,108,19,186,58,57
PG 40:5,823.6,153,47,117,6,105,17
PG 40:6,821.6,153,181,188,187,104,140
PG 40:7,819.6,153,57,95,104,84,156
PG 40:8,817.5,153,43,35,31,49,13
PG 40:9,815.5,153,80,71,44,76,62
