Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PI 32:0,828.6,551.6,21046,18304,20095,21286,18146
PI 32:1,826.5,549.5,30585,30246,34384,35423,30816
PI 34:0,856.6,579.6,26306,25292,26554,27636,28323
PI 34:1,854.6,577.6,220091,235586,271481,250725,223271
PI 34:2,852.6,575.6,222113,243673,232546,259172,242291
PI 36:0,884.6,607.6,19691,18334,18502,21661,18104
PI 36:1,882.6,605.6,227837,283704,284313,244674,226114
PI 36:2,880.6,603.6,697351,762474,752773,817004,827394
PI 36:3,878.6,601.6,178265,182444,170458,180404,171361
PI 36:4,876.6,599.6,214341,232622,251198,231073,230931
PI 36:5,874.6,597.6,4669,4181,4291,4495,4506
PI 38:2,908.6,631.6,45403,55932,47511,49269,48488
PI 38:3,906.6,629.6,455732,465928,446601,500052,437337
PI 38:4,904.6,627.6,1861996,1848660,1782009,2093399,1945562
PI 38:5,902.6,625.6,154791,150644,119136,128499,137041
PI 38:6,900.6,623.6,22990,27778,25124,25069,24709
PI 40:3,934.6,657.6,4447,3903,5031,4634,4510
PI 40:4,932.6,655.6,27623,29422,27864,27632,30666
PI 40:5,930.6,653.6,50793,55117,48610,49138,57654
PI 40:6,928.6,651.6,53525,53430,50669,58812,58521
