Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PI 14:0/22:6,853.5,327.2,1,2,1,3,2
PI 16:0/16:0,809.5,255.2,325,272,464,650,473
PI 16:0/16:1,807.5,253.2,155,162,167,238,246
PI 16:0/18:0,837.5,283.2,201,149,163,65,116
PI 16:0/18:1,835.5,281.2,1525,1500,2022,1745,2036
PI 16:0/18:2,833.5,279.2,1638,1960,1959,2155,1849
PI 16:0/20:4,857.5,303.2,2407,2125,2247,2343,2664
PI 16:0/22:6,881.5,327.2,183,161,37,148,183
PI 16:1/16:0,807.5,255.2,462,359,437,333,293
PI 16:1/16:1,805.5,253.2,2,4,1,2,8
PI 16:1/18:1,833.5,281.2,46,91,83,96,142
PI 16:1/20:4,855.5,303.2,44,7,58,1,7
PI 16:1/22:6,879.5,327.2,2,2,1,2,1
PI 18:0/16:0,837.5,255.2,52,88,150,80,223
PI 18:0/18:0,865.6,283.2,343,140,201,153,174
PI 18:0/18:1,863.6,281.2,1011,1774,1654,1287,1897
PI 18:0/18:2,861.5,279.2,3925,4136,3665,4150,4817
PI 18:0/20:2,889.6,307.2,227,301,276,186,202
PI 18:0/20:3,887.6,305.2,3661,3596,3760,3263,4166
PI 18:0/20:4,885.5,303.2,18146,21094,19094,20941,22463
PI 18:0/22:4,913.6,331.2,166,215,131,193,158
PI 18:0/22:6,909.5,327.2,387,330,276,296,247
PI 18:1/16:0,835.5,255.2,1344,1189,1122,1183,911
PI 18:1/16:1,833.5,253.2,47,90,14,67,75
PI 18:1/18:0,863.6,283.2,2485,2309,2577,3245,2892
PI 18:1/18:1,861.5,281.2,1004,1245,1096,1234,1433
PI 18:1/18:2,859.5,279.2,618,677,497,492,460
PI 18:1/20:4,883.5,303.2,750,1080,766,1055,845
PI 18:1/22:4,911.6,331.2,2,1,1,1,1
PI 18:1/22:6,907.5,327.2,1,1,1,2,11
PI 18:2/16:0,833.5,255.2,1298,1375,1443,1498,1411
PI 18:2/18:0,861.5,283.2,7558,5646,6960,6033,7756
PI 18:2/18:1,859.5,281.2,745,1134,1026,1420,1229
PI 18:2/20:4,881.5,303.2,50,5,26,1,1
PI 20:2/18:0,889.6,283.2,306,342,140,168,306
PI 20:2/22:6,933.5,327.2,12,2,1,3,1
PI 20:3/18:0,887.6,283.2,2755,3279,2686,3499,3551
PI 20:3/20:4,905.5,303.2,2,1,4,2,1
PI 20:3/22:6,931.5,327.2,32,1,1,8,1
PI 20:4/16:0,857.5,255.2,1032,1045,1232,1179,1798
PI 20:4/16:1,855.5,253.2,1,3,1,2,2
PI 20:4/18:0,885.5,283.2,14233,12152,14442,15178,13548
PI 20:4/18:1,883.5,281.2,548,487,1100,704,964
PI 20:4/18:2,881.5,279.2,24,26,32,25,2
PI 20:4/22:6,929.5,327.2,15,17,2,1,1
PI 22:4/18:0,913.6,283.2,129,108,109,168,93
PI 22:4/18:1,911.6,281.2,20,7,1,20,2
PI 22:6/14:0,853.5,227.2,3,1,1,2,2
PI 22:6/16:0,881.5,255.2,142,87,113,82,156
PI 22:6/16:1,879.5,253.2,1,0,2,1,2
PI 22:6/18:0,909.5,283.2,338,248,372,443,462
PI 22:6/18:1,907.5,281.2,19,18,38,8,39
PI 22:6/20:2,933.5,307.2,2,1,2,1,1
PI 22:6/20:3,931.5,305.2,3,1,2,1,1
PI 22:6/20:4,929.5,303.2,3,1,1,16,2
PI 22:6/22:6,953.5,327.2,1,1,1,1,3
