Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PI 32:0,809.6,241,83,16,63,77,81
PI 32:1,807.5,241,33,108,52,45,54
PI 34:0,837.6,241,103,105,78,116,105
PI 34:1,835.6,241,624,730,674,523,752
PI 34:2,833.6,241,230,228,156,185,161
PI 36:0,865.6,241,115,36,100,67,67
PI 36:1,863.6,241,503,304,270,206,208
PI 36:2,861.6,241,456,474,372,400,455
PI 36:3,859.6,241,1071,752,714,708,713
PI 36:4,857.6,241,4579,4495,4661,4413,3927
PI 36:5,855.6,241,81,214,85,125,187
PI 38:2,889.6,241,277,194,160,311,301
PI 38:3,887.6,241,4332,3922,3779,3513,3009
PI 38:4,885.6,241,30803,26505,28425,26183,27000
PI 38:5,883.6,241,7730,7706,5858,7042,6305
PI 38:6,881.6,241,1635,1815,1990,1294,1364
PI 40:3,915.6,241,156,112,116,51,168
PI 40:4,913.6,241,521,539,464,449,528
PI 40:5,911.6,241,1240,874,912,785,846
PI 40:6,909.6,241,3659,3112,3363,3567,2445
