Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PS 32:0,736.5,551.5,272,257,245,100,111
PS 32:1,734.5,549.5,2,50,81,35,63
PS 34:0,764.5,579.5,67,98,110,66,97
PS 34:1,762.5,577.5,149,140,146,212,308
PS 36:0,792.6,607.6,209,274,278,299,224
PS 36:1,790.6,605.6,2080,1720,2132,2219,2414
PS 36:2,788.5,603.5,583,611,580,578,607
PS 36:3,786.5,601.5,11,55,86,55,70
PS 36:4,784.5,599.5,33,51,65,43,63
PS 38:1,818.6,633.6,101,170,194,175,210
PS 38:2,816.5,631.5,152,65,198,181,192
PS 38:3,814.6,629.6,681,670,556,823,648
PS 38:4,812.5,627.5,2654,2152,2861,2306,2377
PS 38:5,810.5,625.5,288,395,266,301,104
PS 38:6,808.5,623.5,3,40,30,130,66
PS 40:3,842.6,657.6,65,37,20,10,77
PS 40:4,840.6,655.6,398,352,392,223,464
PS 40:5,838.6,653.6,312,342,460,423,385
PS 40:6,836.5,651.5,321,561,454,372,542
PS 40:7,834.5,649.5,19,45,71,102,29
