Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
PS 16:0/18:0,762.5,283.2,125,89,119,156,114
PS 16:0/18:1,760.5,281.2,136,145,61,111,150
PS 16:0/18:2,758.5,279.2,11,9,14,10,10
PS 16:0/20:4,782.5,303.2,90,96,17,75,36
PS 16:0/22:6,806.5,327.2,34,115,79,115,104
PS 16:1/18:0,760.5,283.2,41,113,22,85,88
PS 16:1/18:1,758.5,281.2,238,256,207,160,212
PS 16:1/20:4,780.5,303.2,53,194,185,213,130
PS 18:0/16:0,762.5,255.2,124,173,130,146,75
PS 18:0/16:1,760.5,253.2,23,22,20,13,26
PS 18:0/18:0,790.6,283.2,1290,1571,1394,1515,1117
PS 18:0/18:1,788.6,281.2,1049,967,1092,1204,1088
PS 18:0/18:2,786.5,279.2,86,21,32,32,37
PS 18:0/20:1,816.6,309.3,58,88,89,130,71
PS 18:0/20:2,814.6,307.3,84,105,69,57,106
PS 18:0/20:3,812.6,305.2,377,229,382,475,410
PS 18:0/20:4,810.5,303.2,375,437,515,502,487
PS 18:0/22:4,838.6,331.3,848,997,1019,819,915
PS 18:0/22:6,834.5,327.2,5379,5367,6500,7232,5696
PS 18:1/16:0,760.5,255.2,171,175,179,130,107
PS 18:1/16:1,758.5,253.2,35,44,26,22,12
PS 18:1/18:0,788.6,283.2,2825,3021,3170,3473,3161
PS 18:1/18:1,786.5,281.2,1450,1535,1704,2223,1407
PS 18:1/18:2,784.5,279.2,66,18,32,51,47
PS 18:1/20:0,816.6,311.3,63,27,36,45,12
PS 18:1/20:1,814.6,309.3,233,231,156,101,133
PS 18:1/20:4,808.5,303.2,118,232,54,174,133
PS 18:1/22:0,844.6,339.3,20,18,25,45,12
PS 18:1/22:1,842.6,337.3,57,41,19,51,13
PS 18:1/22:6,832.5,327.2,222,286,120,232,119
PS 18:2/16:0,758.5,255.2,25,15,11,9,18
PS 18:2/18:0,786.5,283.2,67,87,109,88,13
PS 18:2/18:1,784.5,281.2,126,99,61,191,36
PS 20:0/18:1,816.6,281.2,13,19,44,40,69
PS 20:1/18:0,816.6,283.2,64,81,156,293,66
PS 20:1/18:1,814.6,281.2,71,67,60,73,37
PS 20:1/20:2,840.6,307.3,41,8,59,10,11
PS 20:2/18:0,814.6,283.2,79,224,136,103,144
PS 20:2/20:1,840.6,309.2,25,23,17,8,9
PS 20:3/18:0,812.6,283.2,692,536,742,856,440
PS 20:3/22:6,856.5,327.2,238,312,419,332,285
PS 20:4/16:0,782.5,255.2,74,49,61,123,64
PS 20:4/16:1,780.5,253.2,14,43,12,12,10
PS 20:4/18:0,810.5,283.2,997,1475,1075,937,1031
PS 20:4/18:1,808.5,281.2,486,575,622,622,488
PS 20:4/22:6,854.5,327.2,982,751,631,757,691
PS 22:0/18:1,844.6,281.2,18,45,28,14,9
PS 22:1/18:1,842.6,281.2,16,26,28,23,23
PS 22:4/18:0,838.6,283.2,1790,1767,2190,2169,1775
PS 22:4/22:6,882.5,327.2,393,371,399,416,522
PS 22:6/16:0,806.5,255.2,118,232,205,152,157
PS 22:6/18:0,834.5,283.2,22855,24541,24607,25579,23967
PS 22:6/18:1,832.5,281.2,735,946,736,997,911
PS 22:6/20:3,856.5,305.2,75,207,219,167,59
PS 22:6/20:4,854.5,303.2,279,156,251,216,223
PS 22:6/22:4,882.5,331.3,2174,2802,2690,3088,2789
PS 22:6/22:6,878.5,327.2,1234,1463,1639,1645,1410
