Name,Precursor,Product,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
SM 30:1 (IS),647.6,184.1,105853,90986,104529,96525,89039
SM 34:2,701.6,184.1,1092836,1009153,1015147,934372,811009
SM 34:1,703.6,184.1,4425979,3295069,7427002,7707422,3541348
SM 34:0,705.6,184.1,1085279,1099184,1091919,1075830,1050466
SM 35:1,717.6,184.1,198730,239212,203046,247677,268602
SM 35:0,719.6,184.1,69581,64351,60609,52548,64440
SM 36:3,727.6,184.1,102327,78346,69370,75592,73337
SM 36:2,729.6,184.1,699380,1141972,1242487,1152496,453997
SM 36:1,731.6,184.1,2639721,2268404,2380851,2183987,2190895
SM 36:0,733.6,184.1,288811,254613,326034,265950,329578
SM 37:3,741.6,184.1,7835,7708,6663,6331,6148
SM 37:2,743.6,184.1,17413,16539,25165,24662,24465
SM 37:1,745.6,184.1,151059,88932,134437,124970,113084
SM 37:0,747.6,184.1,25964,25596,22573,18376,21495
SM 38:4,753.6,184.1,10122,8953,10750,9295,9070
SM 38:3,755.6,184.1,63771,49960,48159,44517,42026
SM 38:2,757.6,184.1,637896,697028,614514,679499,564879
SM 38:1,759.6,184.1,1687064,1744694,2057083,1494413,1489417
SM 38:0,761.7,184.1,181532,190948,208789,201389,215967
SM 39:5,765.6,184.1,739,838,997,1140,515
SM 39:4,767.6,184.1,3257,4061,3626,3654,3407
SM 39:3,769.6,184.1,9266,8822,118387,9769,9367
SM 39:2,771.6,184.1,74079,42113,56907,31494,78378
SM 39:1,773.7,184.1,436465,506874,547768,479987,415277
SM 39:0,775.7,184.1,67974,63899,69164,54476,52932
SM 40:6,777.6,184.1,7087,7876,7061,7251,7317
SM 40:5,779.6,184.1,9169,7089,7916,6549,7113
SM 40:4,781.6,184.1,45963,32901,18331,36649,34451
SM 40:3,783.6,184.1,129633,254195,159385,117390,219461
SM 40:2,785.7,184.1,2671784,2860332,2110071,2511776,2662848
SM 40:1,787.7,184.1,4218594,3289981,3636605,3526238,3304170
SM 40:0,789.7,184.1,427802,455647,376434,341279,380013
SM 41:4,795.6,184.1,12072,12783,8801,11311,11558
SM 41:3,797.6,184.1,96688,97099,112090,81890,76396
SM 41:2,799.7,184.1,870145,858043,856149,879190,880774
SM 41:1,801.7,184.1,1310509,1303711,1456471,1099902,1368221
SM 41:0,803.7,184.1,158430,176658,158526,153449,144328
SM 42:6,805.6,184.1,36564,34221,29582,32330,26968
SM 42:5,807.6,184.1,42933,52528,43372,54655,43657
SM 42:4,809.6,184.1,371152,254614,294421,295758,387418
SM 42:3,811.7,184.1,3163922,2870895,2489884,2517835,2463970
SM 42:2,813.7,184.1,5765015,6423308,7535044,5155326,6540697
SM 42:1,815.7,184.1,3066093,4154103,3771619,3026910,2450633
SM 42:0,817.7,184.1,325324,286262,282924,215293,254158
SM 43:6,819.6,184.1,12856,11532,12733,10943,12846
SM 43:5,821.6,184.1,3157,4123,3720,4081,4061
SM 43:4,823.7,184.1,8846,6804,6494,6871,6156
SM 43:3,825.7,184.1,61685,61193,59661,55614,57519
SM 43:2,827.7,184.1,182303,212089,184051,194132,111242
SM 43:1,829.7,184.1,148990,177328,158875,156070,174020
SM 43:0,831.7,184.1,66160,71122,66735,70845,64995
SM 44:6,833.6,184.1,18385,19382,19700,19043,16866
SM 44:5,835.7,184.1,15987,13025,14918,15026,11998
SM 44:4,837.7,184.1,19306,19433,17840,16044,16059
SM 44:3,839.7,184.1,47582,39972,37374,44553,47596
SM 44:2,841.7,184.1,43772,49964,44609,45308,44927
SM 44:1,843.7,184.1,23261,20117,20095,21570,15761
SM 44:0,845.7,184.1,7451,6796,6146,6426,7015
